Round_Centre_Code,FSU_Serial_No,Round,Sch_No,Sample,Sector,State_Region,District,Stratum,Sub_Stratum_No,Filler_1,Sub_Round,Sub_Sample,FOD_Sub_Region,Hamlet_Group_Sub_Block_No,Second_Stage_Stratum_No,Sample_Hhld_No,Level,Filler_2,HH_Size,NIC_2008,NCO_2004,HH_Type,Religion,Social_Group,Land_Owned,Land_Possessed,Land_Cultivated,NREG_Job_Card,No_NREG_Card,Saving_Bank_Held_by_any_member,Spl_characters_for_OK_stamp,Blank,NSS,NSC,MLT,NSS_SR,NSC_SR,MLT_SR,Household_Type,State,District_code,Multiplier_comb
RC-1,FSU-67268,Round 62,SCH-165,Sample 1,Rural,Haryana,Surat,Stratum-10,Sub-Stratum-5,N/A,Sub-Round 2,Sub-Sample 2,FOD-150,Block-1,Stage-2,HH-1,Level 1,N/A,3,Land transport,Shop Keeper,Regular Wage/Salary,Buddhism,Scheduled Caste (SC),6.2 acres,46.2 acres,21.5 acres,Yes,5,Yes,OK,,NSS-7,NSC-14,478633.18,SR-3,SR-3,108949.3,Joint Family,Haryana,DT-184,1904.375
RC-3,FSU-13648,Round 73,SCH-199,Sample 2,Urban,Madhya Pradesh,Ambala,Stratum-10,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 1,FOD-856,Block-3,Stage-3,HH-3,Level 2,N/A,8,Construction of buildings,Mason/Construction Worker,Regular Wage/Salary,Others,Other Backward Class (OBC),24.5 acres,40.7 acres,17.4 acres,Yes,0,No,OK,,NSS-16,NSC-11,377025.16,SR-4,SR-2,836343.53,Nuclear Family,Madhya Pradesh,DT-392,849.497
RC-5,FSU-48014,Round 65,SCH-112,Sample 1,Rural,Odisha,Agra,Stratum-9,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-147,Block-5,Stage-2,HH-6,Level 3,N/A,6,Forestry and logging,Mason/Construction Worker,Self-employed in Non-Agriculture,Others,Scheduled Tribe (ST),29.9 acres,27.7 acres,9.0 acres,No,1,No,Pending,,NSS-16,NSC-2,210048.39,SR-1,SR-1,589711.96,Joint Family,Odisha,DT-531,1111.812
RC-2,FSU-70923,Round 70,SCH-143,Sample 2,Urban,Odisha,Ambala,Stratum-2,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 2,FOD-377,Block-3,Stage-3,HH-5,Level 2,N/A,7,Hospital activities,Mason/Construction Worker,Others,Jainism,Scheduled Tribe (ST),37.6 acres,23.9 acres,30.0 acres,Yes,0,No,Pending,,NSS-15,NSC-5,209998.43,SR-5,SR-3,635967.62,Nuclear Family,Odisha,DT-685,1719.677
RC-1,FSU-47115,Round 68,SCH-137,Sample 1,Rural,Bihar,Pune,Stratum-2,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-804,Block-2,Stage-3,HH-2,Level 3,N/A,10,Land transport,Manager,Other Labour,Islam,Other Backward Class (OBC),16.2 acres,41.8 acres,1.2 acres,No,0,Yes,OK,,NSS-7,NSC-2,316687.3,SR-5,SR-3,478445.8,Extended Family,Bihar,DT-610,1185.292
RC-5,FSU-24958,Round 62,SCH-137,Sample 1,Rural,Andhra Pradesh,Surat,Stratum-9,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 2,FOD-324,Block-3,Stage-3,HH-5,Level 3,N/A,6,Financial services,Blacksmith,Agricultural Labour,Christianity,Scheduled Caste (SC),15.6 acres,11.9 acres,27.7 acres,No,5,Yes,Pending,,NSS-2,NSC-21,284857.8,SR-3,SR-5,450530.83,Nuclear Family,Andhra Pradesh,DT-986,583.764
RC-2,FSU-81924,Round 65,SCH-144,Sample 2,Urban,Assam,Mysuru,Stratum-4,Sub-Stratum-2,N/A,Sub-Round 2,Sub-Sample 2,FOD-922,Block-3,Stage-1,HH-1,Level 1,N/A,1,Mining of coal,Carpenter,Agricultural Labour,Buddhism,Other Backward Class (OBC),39.8 acres,35.1 acres,29.2 acres,No,5,Yes,OK,,NSS-12,NSC-24,451286.06,SR-2,SR-2,800780.93,Single Member,Assam,DT-504,713.6
RC-4,FSU-21198,Round 74,SCH-170,Sample 2,Rural,Madhya Pradesh,Agra,Stratum-7,Sub-Stratum-3,N/A,Sub-Round 2,Sub-Sample 2,FOD-747,Block-4,Stage-3,HH-1,Level 1,N/A,11,Hospital activities,Carpenter,Self-employed in Agriculture,Christianity,General/Others,16.8 acres,46.0 acres,1.7 acres,Yes,2,Yes,Pending,,NSS-17,NSC-2,90491.32,SR-1,SR-2,743415.31,Nuclear Family,Madhya Pradesh,DT-500,622.042
RC-2,FSU-41229,Round 64,SCH-140,Sample 1,Urban,West Bengal,Bhubaneswar,Stratum-10,Sub-Stratum-4,N/A,Sub-Round 1,Sub-Sample 2,FOD-736,Block-1,Stage-3,HH-1,Level 1,N/A,5,Construction of buildings,Blacksmith,Other Labour,Others,Scheduled Tribe (ST),3.7 acres,26.9 acres,0.9 acres,Yes,2,Yes,Pending,,NSS-6,NSC-8,287425.92,SR-2,SR-1,400225.47,Joint Family,West Bengal,DT-676,1274.792
RC-5,FSU-54396,Round 63,SCH-104,Sample 2,Urban,West Bengal,Guwahati,Stratum-7,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 2,FOD-794,Block-2,Stage-1,HH-2,Level 3,N/A,12,Forestry and logging,Nurse,Agricultural Labour,Jainism,Scheduled Caste (SC),7.6 acres,5.6 acres,4.3 acres,No,2,Yes,OK,,NSS-17,NSC-5,90458.56,SR-2,SR-2,633999.32,Nuclear Family,West Bengal,DT-890,1402.509
RC-5,FSU-43053,Round 62,SCH-184,Sample 1,Rural,West Bengal,Lucknow,Stratum-7,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 1,FOD-100,Block-5,Stage-3,HH-7,Level 2,N/A,3,Fishing and aquaculture,Domestic Helper,Others,Christianity,General/Others,45.2 acres,9.3 acres,25.4 acres,Yes,1,No,OK,,NSS-4,NSC-1,155489.29,SR-5,SR-1,538300.67,Single Member,West Bengal,DT-293,1323.493
RC-2,FSU-68186,Round 74,SCH-138,Sample 2,Urban,Gujarat,Jaipur,Stratum-2,Sub-Stratum-2,N/A,Sub-Round 1,Sub-Sample 1,FOD-685,Block-3,Stage-2,HH-6,Level 1,N/A,12,Crop and animal production,Office Clerk,Regular Wage/Salary,Christianity,Other Backward Class (OBC),17.4 acres,34.7 acres,1.7 acres,No,2,No,OK,,NSS-7,NSC-14,228036.04,SR-1,SR-5,706542.14,Single Member,Gujarat,DT-940,1107.26
RC-4,FSU-73278,Round 69,SCH-137,Sample 2,Rural,Andhra Pradesh,Dehradun,Stratum-9,Sub-Stratum-5,N/A,Sub-Round 3,Sub-Sample 1,FOD-106,Block-5,Stage-1,HH-8,Level 1,N/A,3,Retail trade,Engineer,Regular Wage/Salary,Jainism,Other Backward Class (OBC),4.9 acres,19.0 acres,2.2 acres,No,0,Yes,Pending,,NSS-6,NSC-25,211301.79,SR-3,SR-2,227852.29,Extended Family,Andhra Pradesh,DT-711,1565.269
